German,English
ich,I
sie,they
das,the
ist,is
du,you
nicht,not
die,the
es,it
und,and
der,the
wir,We
was,What
zu,to
er,he
ein,a
in,in
ja,Yes
mir,me
mit,with
wie,how
den,the
mich,me
auf,on
dass,that
aber,but
eine,a
so,so
hat,has
hier,here
haben,have
f�r,for
sind,are
war,was
von,by
wenn,if
dich,you
ihr,"Yours"
nein,no
habe,have
an,on
bin,am
noch,Yet
nur,only
da,Since
dir,dir
einen,a
uns,Us
hast,have
dem,the
kann,can
gut,Good
auch,also
schon,already
als,as
sein,be
mal,times
jetzt,Now
ihn,him
dann,then
aus,Off
meine,My
um,to
im,in the
wird,will be
mein,My
bist,You are
doch,but
alles,everything
wei�,white
keine,none
oder,or
nach,to
s,s
nichts,nothing
man,one
muss,must be
werden,will be
will,will
ihnen,to them
geht,goes
wo,where
etwas,something
oh,oh
mehr,more
bei,at
also,so
bitte,please
immer,always
hab,hab
warum,Why
vor,before
los,Go
k�nnen,can
wieder,again
sagen,say
machen,make
danke,Thank you
sehr,very
alle,all
denn,because
mann,Man
tun,do
ihm,to him
zum,to the
gehen,Go
sehen,see
vielleicht,maybe
einem,a
wer,who
ihre,Your
diese,these
euch,you
einer,a
komm,Come on
�ber,About
gibt,gives
okay,okay
wissen,Knowledge
deine,Your
m�ssen,must be
soll,should
werde,will be
nie,never
wirklich,really
hey,hey
kein,none
viel,a lot
weg,Gone
w�rde,would
tut,does
am,on
des,of the
einfach,Simple
leben,Life
hatte,had
zeit,Time
weil,because
willst,want to
kommen,come
dein,Your
heute,Today
kommt,comes
wollen,want to
damit,so that
ganz,all
w�re,would be
wollte,wanted to
wei�t,white
ok,ok
sicher,Safe
gesagt,said
frau,Ms.
nun,Well
bis,to
wurde,was
leid,Suffering
na,well
kannst,You can
macht,Power
dieser,This
zur�ck,back
lassen,let
hallo,Hello
meinen,My
gott,God
seine,its
h�tte,would have
zwei,two
k�nnte,could
genau,accurate
waren,Goods
zur,to the
lass,let
klar,clear
morgen,tomorrow
leute,People
vater,Father
sch�n,Beautiful
glaube,Faith
mr.,Mr.
ab,from
gerade,straight
tag,Day
gesehen,seen
reden,Speeches
wohl,Well
liebe,Love
sollte,should
sagte,said
unsere,Our
jemand,someone
geld,Money
durch,by
ob,whether
keinen,none
mutter,Mother
raus,out
gemacht,made
paar,Couple
mach,do
passiert,happens
dachte,thought
besser,better
musst,must
wieso,Why
sir,sir
dieses,this
selbst,Yourself
geh�rt,Heard
m�chte,would like to
ohne,without
h�r,Listen
her,here
sag,say
meiner,my
anderen,others
helfen,Help
nacht,Night
finden,Find
diesen,this
gute,good
wirst,will
lange,long
nat�rlich,Of course
ach,oh
meinem,my
gar,even
ins,into
sei,Let
dort,there
weiter,Read more
geben,give
seit,since
gleich,Same
sagt,says
recht,Law
ihren,their
richtig,Correct
ordnung,Order
vom,from
h�ren,Listen
sieht,looks
davon,of which
daf�r,for this
geh,Go
diesem,this
wegen,because of
hause,Home
sollten,should
m�dchen,Girls
hin,there
sollen,should
abend,Evening
haus,House
denke,I think
viele,Many
drei,three
deinen,your
freund,Friend
guten,good
unser,Our
warte,Wait
machst,make
menschen,People
essen,Food
angst,Anxiety
bleiben,stay
zusammen,together
welt,World
unter,under
habt,have
schnell,Fast
andere,Others
tot,dead
getan,done
darf,may
erst,only
rein,pure
stimmt,true
nehmen,Take
kinder,Children
eines,of a
glauben,Faith
bringen,bring
ganze,whole
genug,enough
schei�e,Shit
brauchen,Need
gegen,against
moment,moment
junge,Boy
steht,stands
sonst,otherwise
musik,Music
arbeit,Work
seid,You are
ihrer,their
fragen,Questions
herr,Mr.
dabei,in doing so
hei�t,is called
familie,Family
warten,wait
niemand,no one
sofort,immediately
bevor,before
jahre,years
einmal,once
problem,#CONNECT!
sohn,Son
wann,when
brauche,Need
fertig,done
halt,Stop
allein,alone
beim,at the
sprechen,Speak
beide,both
gefunden,found
hatten,had
sache,Matter
hilfe,Help
verdammt,Damn
ne,ne
jeder,everyone
warst,You were
gern,gladly
konnte,could
dar�ber,"In addition"
halten,Hold
siehst,see
verstehe,I understand
jahren,years
kam,came
kind,Child
wusste,knew
wahr,true
seinen,its
dazu,to this
bruder,Brother
daran,of it
ihrem,their
denken,think
k�nnten,could
dank,Thanks
w�rden,would
lieber,Dear
fall,Case
deiner,your
sehe,see
egal,it doesn't matter
kennen,know
deinem,your
vergessen,forgotten
frage,Question
mache,make
komme,come
sage,Say
mag,mag
sieh,see
echt,real
gib,give
eigentlich,"Actually"
jeden,every
dad,dad
gab,gave
uhr,Clock
stadt,City
m�nner,Men
baby,Baby
fahren,Driving
namen,Names
bekommen,get
kopf,Head
hi,hi
gehe,Go
kleine,small
sp�ter,later
gl�ck,Happiness
letzte,last
freunde,Friends
n,n
all,all
darauf,on it
ende,End
dr.,Dr.
bald,soon
t�ten,kill
dinge,Things
meinst,mean
toll,Great
eins,one
minuten,minutes
vielen,many
bereit,Ready
weit,far
ahnung,Idea
seiner,of its
bisschen,a bit
t�r,Door
auto,Car
jungs,Boys
eure,yours
augen,Eyes
polizei,Police
stehen,stand
sterben,Die
h�tten,would have
drau�en,outside
kenne,Know
fast,almost
runter,down
vorbei,over
treffen,Meeting
gerne,gladly
dran,on it
wurden,were
arbeiten,Work
mom,mom
verr�ckt,Crazy
neue,New
ging,went
hinter,behind
sorgen,Worries
einzige,single
jemanden,someone
darum,That's why
tochter,Daughter
braucht,needs
idee,Idea
schwester,Sister
drin,inside
ruhig,quiet
sah,saw
ganzen,whole
sp�t,late
ziemlich,pretty
solltest,should
name,Name
sogar,even
kurz,In short
kerl,Guy
frauen,Women
liegt,is located
suchen,Search
finde,find
je,each
woher,Where
lang,long
job,Job
keiner,none
seinem,its
h�rt,listens
spielen,Play
s.,s.
�berhaupt,at all
teufel,Devil
verstanden,Got it
verloren,lost
gro�e,Large
hand,hand
grund,Reason
jahr,Year
kommst,come
mama,Mom
ruhe,Tranquility
gewesen,have been
tod,Death
stunden,hours
hoffe,hope
denkst,think
oben,Top
gestern,yesterday
versuchen,Try
art,Art
letzten,last
schatz,Sweetheart
endlich,finally
he,he
nimm,take
etwa,about
erz�hlt,narrated
l�uft,Running
schwer,difficult
anders,different
miss,miss
musste,had to
f�nf,five
wasser,Water
l�sst,lets
erste,first
versucht,tries to
gekommen,come
geschichte,History
wenig,little
holen,Get
bedeutet,means
